,,WT_0d_e1,,,,WT_1d_e1,,,,WT_7d_e1,,,,WT_21d_e1,,
,,rv,,,,rv,,,,rv,,,,rv,,
metabolite,,MT_0d_e1,±,sdev,,MT_1d_e1,±,sdev,,MT_7d_e1,±,sdev,,MT_21d_e1,±,sdev
Alanine,,0.97558594955,±,0.148173251250943,,0.4465349965,±,0.331237924075584,,1.0215141911,±,0.409832760355818,,2.4757373407,±,1.2767040559067
"Alanine, beta-",,0.5960786838,±,0.195352956972361,,0.80096042295,±,0.0915997478362639,,0.8425364256,±,0.390308283335765,,0.8952418079,±,0.473294137893026
Asparagine,,0.6647363495,±,0.552489374157104,,0.3679000653,±,0.178656205768549,,4.1220822271,±,5.58808386135044,,0.3717487987,±,0.453873556638019
Aspartic acid,,1.07332824035,±,0.104400171111532,,0.90820718285,±,0.105218576358656,,1.0090736777,±,0.404773275571926,,1.6084658388,±,0.949755312165258
Azelaic Acid,,1.0140441384,±,0.12690049577721,,0.54663654635,±,0.153546810522464,,2.1791727114,±,0.0143555469556753,,0.3792774416,±,0.332716411381625
"Benzoic acid, 4-hydroxy-",,0.76128456275,±,0.0827624175118198,,1.7913731466,±,2.12135302348948,,0.9935133562,±,0.552437544927099,,0.96627394975,±,0.0907710052536845
"Butanoic acid, 4-amino-",,0.62214820775,±,0.341169371258449,,0.89762510415,±,0.938423659205355,,1.20033245975,±,0.877655647579309,,0.6248667459,±,0.218092196260971
Citric acid,,0.8150689129,±,0.384268740492132,,0.29864115915,±,0.0163307393695515,,1.17023917405,±,0.590255170442057,,0.68842526515,±,0.367931421211138
Dehydroascorbic acid dimer,,0.0932617627,±,0.00855596786930531,,10.30348240225,±,4.72386651920507,,0.1505645991,±,0.0829843536524075,,16.3595349715,±,21.6161579290067
Erythritol,,0.2248726587,±,0.0443769374511508,,2.90042017975,±,0.354649013447717,,0.54402278,±,0.0370894788422076,,3.022485871,±,0
Erythronic acid,,0.92058854185,±,0.411986109313163,,0.9136321881,±,0.115635592919634,,1.33665919,±,0.514619173909462,,0.5486127032,±,0.176604678419927
Fructose,,0.8633941777,±,0.435870407836874,,0.0546088131,±,0.00561602349978362,,4.99612194895,±,2.49438667437228,,0.98171108575,±,0.446199390310701
Fructose-6-phosphate,,0.4472261249,±,0.130200104071285,,1.01199383185,±,0.573759612047854,,1.25349315345,±,0.575745721978299,,0.92538763735,±,0.342306925615728
Fumaric acid,,1.10463027625,±,0.109197948180374,,0.46705989225,±,0.0663278199245931,,2.23841423845,±,0.576536414155033,,1.25906366425,±,0.00436368244810539
Galactinol,,0.151916328,±,0.046403616077532,,1.7495742445,±,0.750774076030173,,0.7797756092,±,0.141678137963678,,1.95291349875,±,0.277040687293761
Galactonic acid,,0.7200874513,±,0.15849187927733,,1.46932431455,±,0.590553776403162,,0.94158993845,±,0.445692462206577,,1.02101373325,±,0.18910620999224
Glucose,,0.9015711542,±,0.507790103493963,,0.09577840215,±,0.0240839113739276,,2.7682572022,±,0.347282104108708,,2.03932615805,±,0.585189513888758
"Glucose, 1,6-anhydro-, beta-",,1.61882465865,±,0.249899085048347,,0.6117432113,±,0.0359209887046735,,0.87244136155,±,0.658619044026868,,1.7770954556,±,0.720574268917354
Glucose-6-phosphate,,0.5114863627,±,0.0574652258769387,,0.7355153716,±,0.369968165007575,,1.2863825734,±,0.238829038121538,,1.15790102565,±,0.448114993916888
Glutamic acid,,0.6608477647,±,0.331682042429919,,0.3900040104,±,0.496641902812346,,1.97678546765,±,2.16845853603189,,0.3498730594,±,0.207892585548855
Glutamine,,0.98208543865,±,0.526783132280172,,0.2810159877,±,0.194610032121437,,2.7376173545,±,3.1478290957201,,0.3417744145,±,0.389081415028062
"Glutaric acid, 2-oxo-",,0.63809283955,±,0.237979280254711,,0.7687971639,±,0.149171141058782,,1.26960043395,±,0.341937540245725,,0.8323142662,±,0.182840757492172
Glyceric acid,,0.71686131565,±,0.0244233708535795,,2.40081792315,±,0.714319253313377,,1.0489521636,±,0.372066908562982,,0.8950495744,±,0.2629594627674
Glycerol-3-phosphate,,0.41385943195,±,0.0832063944447989,,1.86702554405,±,0.780670833793585,,0.92235018155,±,0.253621253425213,,1.15202863135,±,0.30073393652535
Glycerophosphoglycerol,,0.4312478512,±,0.193726044700257,,1.49381442525,±,0.987548986417902,,1.0106030354,±,0.785636716519399,,0.53636301245,±,0.222397747460595
Glycine,,0.9285568574,±,0.262291522206559,,0.47546295365,±,0.0315810455282688,,1.3280774116,±,0.072790552529606,,0.932667993,±,0.34431570871298
"Inositol, myo-",,0.46198350825,±,0.113541631032413,,1.898994511,±,0.801966849262043,,0.7634669935,±,0.387532437095532,,0.8803925169,±,0.248718521840342
Lyxonic acid,,1.4786502935,±,0.420239213802145,,0.53417382655,±,0.1299506667095,,1.3167115508,±,0.836190687080981,,0.7181317297,±,0.242511529605541
"Lyxonic acid-1,4-lactone",,1.98942199855,±,0.21045726403625,,0.4098852687,±,0.0596503627489218,,1.41638495675,±,1.10819376337344,,1.1015379785,±,0.567637735599807
Malic acid,,0.7509632455,±,0.360375365616488,,0.76441069565,±,0.00922699374916434,,1.2019917038,±,0.107361072782545,,0.87708205005,±,0.25854877171906
Malonic acid,,0.90025848865,±,0.0921365513433142,,1.5314273894,±,0.0182570329453455,,0.9986566646,±,0.35607352510112,,0.8100978596,±,0.26304526734687
Maltose,,0.5717167989,±,0.678596908510497,,0.4242554824,±,0.121523369434821,,2.20926052365,±,1.06833384086965,,0.24579755185,±,0.154612820381307
N-Carboxyglycine,,1.4239492582,±,1.30736285380937,,0.1688138861,±,0.18077631978794,,3.68700712335,±,2.66605058600429,,1.31300488725,±,1.75721411660765
Nonanoic acid,,0.5191311744,±,0.236352769548548,,1.53214541255,±,0.488317958103283,,0.92680648185,±,0.0631221610901575,,1.0824510314,±,0.0239022506213826
Ornithine,,0.7240515712,±,0.268300460195911,,0.21058041345,±,0.0205928327056426,,1.36092751015,±,0.983366676081353,,0.8229713773,±,0.51207848932292
Phosphoric acid,,0.21334104815,±,0.0928758517062987,,2.30034979025,±,0.832374799266311,,0.5815686171,±,0.175523030328932,,0.8411654266,±,0.181860148737669
Phosphoric acid monomethyl ester,,0.1339769959,±,0.0748570366008632,,5.54365543585,±,2.0748969063598,,0.8332708141,±,0.483234190211865,,0.78127934575,±,0.408647129313512
Proline,,0.25489190095,±,0.0787004352533831,,0.90462682325,±,0.191952157384546,,0.7153011815,±,0.309018139004883,,0.700195444,±,0.394106255680895
Putrescine,,0.8873606811,±,0.347834744969179,,0.5993476437,±,0.66601204419189,,0.9184745928,±,0.607635782786599,,1.3686990423,±,1.00171942688969
Pyroglutamic acid,,0.81348578405,±,0.174117569122165,,3.0831216893,±,2.03339648247649,,0.870185324,±,0.102492383934415,,0.70626093435,±,0.223331953463954
Pyruvic acid,,1.5185712471,±,0.403480511417598,,0.5447768563,±,0.246366094817638,,1.17481660335,±,0.538511956158913,,0.88222608525,±,0.133054339815727
Raffinose,,0.123480138,±,0.0302437232522567,,1.38677223075,±,0.0111457955993224,,0.62624686855,±,0.0397570975105433,,1.35395397835,±,0.289003221277392
Ribonic acid,,1.7547585114,±,0.268089469714742,,0.5787879461,±,0.171247477922368,,1.413925546,±,1.15175310783103,,0.6767939504,±,0.265969868206347
Serine,,0.76278222175,±,0.0393343926122839,,0.7393774088,±,0.927030216709327,,6.2806465597,±,7.50788911823407,,0.0982454797,±,0.0802014404455819
Shikimic acid,,0.89822952725,±,0.196550828033049,,1.0583847986,±,0.25245135466026,,1.36810102925,±,0.390694609499321,,0.700825309,±,0.139727329915019
"Sinapic acid, cis-",,0.8300636837,±,0.351606222164639,,1.1867311994,±,0.285369455036756,,1.57488233065,±,1.21878029044476,,0.77284991955,±,0.335220210945008
Spermidine,,0.7579666944,±,0.324188995635616,,0.11056493915,±,0.0601547132366961,,2.6239468248,±,3.26314041540958,,4.86869004325,±,6.1886418028786
Succinic acid,,0.74692773675,±,0.0666265425583169,,0.4958277234,±,0.162841886775262,,1.93978465805,±,0.940856272278466,,0.48454145635,±,0.297586955108674
Sucrose,,0.87305159465,±,0.108883939170834,,0.71660002105,±,0.0545962929180496,,1.0668482488,±,0.380696657933736,,1.09350584465,±,0.438487044954815
Threonic acid,,1.274424064,±,0.370887388832454,,0.8607933792,±,0.663309397928488,,1.91388924855,±,1.64631867254414,,0.72068976695,±,0.16276696195286
"Threonic acid-1,4-lactone",,0.51144654195,±,0.135962146606308,,1.56338909045,±,0.502701901477342,,1.19849910135,±,0.498995172918464,,0.743734341,±,0.221212722691643
Threonine,,0.6325033702,±,0,,1.8966462631,±,1.23038749711902,,0.79042351775,±,0.635263566693887,,0.62578332795,±,0.345250293937705
"Trehalose, alpha,alpha'-",,0.73782519785,±,0.00973214291404812,,1.5780789713,±,0.207470613637485,,1.3069070767,±,0.934550692741358,,0.2536293075,±,0.138643455286192
Tyramine,,1.0144318699,±,0,,0.5993812688,±,0.33178750288085,,1.0040774601,±,0.771311173377241,,0.869489376,±,0.34686755681854
Uric acid,,0.8929622085,±,0.0188552779505626,,1.73325865595,±,0.101937976084808,,1.1512514036,±,0.56586688721691,,1.1285981469,±,0.549838483160338
Valine,,0.71872695455,±,0.15211689310843,,1.05874986835,±,0.0819110130054314,,1.01916545535,±,0.617541562983256,,1.0907282938,±,0.671244809735152
Xylose,,1.17647991025,±,0.295231914336465,,1.08563019305,±,0.0277174260966809,,0.8743095623,±,0.523006039879053,,0.8801019301,±,0.435802218560116
"beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-",,0.76554139055,±,0.273115738511141,,0.84959949,±,0.186170108111678,,1.0170567511,±,0.560605366327862,,0.57766712995,±,0.0351657321236182
